ticker,sentiment,lastSentiment,sentimentChange,rank,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
FAF,15.65,25.76,-39.24689441,167,First American Financial Corporation,53.84,0,0,687855,5782697422,595340,54.92
DVN,6.342787452,10.42785,-39.17454268,168,Devon Energy Corporation,50.86,-0.14,-0.00275,16175279,33660000000,14855216,51.89
MULN,5.945114719,9.753634361,-39.04718489,169,Mullen Automotive Inc,1.02,0,0,23172515,487061038,41601314,0.9901
RELI,21.84487179,35.83333333,-39.03756708,170,"Reliance Global Group, Inc.",1.96,-0.04,-0.02,50209,22674218,175843,2.07
CPIX,10.27777778,16.83333333,-38.94389439,171,Cumberland Pharmaceuticals Inc.,2.09,0.03999996,0.019512177,4684,31304963,10030,2.05
AIHS,12.21428571,20,-38.92857143,172,Senmiao Technology Limited,0.9703,-0.0697,-0.06702,59331,6425518,65199,0.99
CGC,5.670626036,9.22146022,-38.50620291,173,Canopy Growth Corporation,2.69,0.04,0.01509,9137756,1067573732,11768872,2.71
LMT,13.65855511,22.10520531,-38.21113664,174,Lockheed Martin Corporation,425.89,0,0,1044956,1.13332E+11,1713202,415.25
APPH,10.45640422,16.88858859,-38.08597938,175,"AppHarvest, Inc.",4.2,-0.05,-0.01176,1299138,432374762,1472761,4.05
MQ,20.07795359,32.40875706,-38.04775188,176,"Marqeta, Inc.",8.63,-0.03,-0.00346,7876707,3737388328,7109100,8.9
AGS,11.74603175,18.88888889,-37.81512605,177,"PlayAGS, Inc.",5.39,0,0,257223,200007765,362773,5.28
KPLT,12.11388889,19.43541667,-37.67106156,178,"Katapult Holdings, Inc.",1.19,0.02,0.01709,537261,114807434,251436,1.13
IUSB,10,16.005,-37.51952515,179,iShares Core Total USD Bond Market ETF,46.97,0.1,0.00213,1304700,17351274000,1720288,47.13
LSPD,27.15150715,43.23166667,-37.19532638,180,Lightspeed Commerce Inc.,21.64,0,0,1469246,3225559916,1049695,23.04
IMGN,10.454,16.574,-36.92530469,181,"ImmunoGen, Inc.",5,-0.15,-0.02913,5977895,1135760565,4891811,4.9
RDBX,8.966761676,14.12952681,-36.53883955,182,Redbox Entertainment Inc - Class A,6.21,-0.08,-0.01272,8144498,79370466,5244470,5.6
ABUS,5.349666667,8.323833333,-35.73073304,183,Arbutus Biopharma Corporation,2.8,0,0,585734,416439064,1571864,2.88
SOS,10.18894555,15.81871511,-35.58929733,184,SOS Limited,8.06,-0.25,-0.03008,857571,2243585912,227048.54,8.45
ROOT,10.71428571,16.57619048,-35.36340132,185,"Root, Inc.",1.15,0.01,0.00877,2405769,176700000,1267230,1.21
CMMB,13,20.0640625,-35.20753835,186,Chemomab Therapeutics Ltd.,3.45,-0.0099,-0.00286,10398,39345577,5697,3.4599
HYMC,11.27978508,17.3407533,-34.95216219,187,Hycroft Mining Holding Corporation,0.937,0.0005,0.00053,5552766,184518352,6067035,1.01
GBT,8.816666667,13.54038462,-34.88614307,188,"Global Blood Therapeutics, Inc.",33.08,-0.41,-0.01224,1474419,2180137512,1423000,33.28
GOOD,38.19823565,57.96166667,-34.09741671,189,Gladstone Commercial Corporation,19.25,0.24,0.01262,152702,734719258,181312,18.98
OCX,8.8,13.33333333,-34,190,OncoCyte Corporation,0.8901,0,0,106452,105488440,321361,0.889
PYPL,12.47806682,18.7849035,-33.57396369,191,"PayPal Holdings, Inc.",73.29,0.05,0.00068,9436619,84814844400,12833153,74.4
MDT,4.139836814,6.232075551,-33.57210162,192,Medtronic plc,89.94,0.32,0.00357,8061917,1.20229E+11,3590439,90.49
JAKK,2.332190476,3.501347518,-33.39163095,193,"JAKKS Pacific, Inc.",12.92,-0.26000023,-0.019726876,19983,123874504,68002,13.18
BBIG,3.309562382,4.965859739,-33.35368786,194,"Vinco Ventures, Inc.",1.1,0.04,0.03774,16190209,247129453,13157983,1.16
IMMX,8.211281179,12.23478261,-32.88576151,195,"Immix Biopharma, Inc.",2.79,0.1,0.03717,292095,37350661,148465,2.5
LULU,6.023108277,8.96744709,-32.83363463,196,Lululemon Athletica Inc.,279.81,-0.57,-0.00203,956741,34298997552,2415716,283.62
STSS,2.25,3.333333333,-32.5,197,Sharps Technology Inc,1.09,0.04,0.0381,34426,9630974,73875,1.06
GAB,20.7,30.62222222,-32.40203193,198,The Gabelli Equity Trust Inc.,6.2,0.01,0.00162,256604,1620370754,378178,6.18
XELA,7.727737518,11.40504974,-32.24284247,199,"Exela Technologies, Inc.",0.1083,0.0021,0.01977,125164635,46936752,103763085,0.1114
EVBG,8.911290323,12.94090909,-31.13860657,200,"Everbridge, Inc.",29.34,0,0,550436,1160121380,929431,29.3
